usuario,"timestamp","cpu","ram","disco","uptime"
24,"2025-10-01 12:09:48.438201",7.1,73.3,3.8,221035.438442
24,"2025-10-01 12:09:58.455006",5.1,71.6,3.8,221045.455257
24,"2025-10-01 12:10:08.473495",6.1,72.5,3.7,221055.473761
24,"2025-10-01 12:10:18.492276",8.9,70.7,3.8,221065.492514
24,"2025-10-01 12:10:28.510268",5.3,71.1,3.8,221075.510511
24,"2025-10-01 12:10:38.529913",11.7,71.6,3.8,221085.530196
24,"2025-10-01 12:10:48.547369",13.9,72.5,3.8,221095.547677
24,"2025-10-01 12:10:58.566434",20.2,73.6,3.8,221105.566725
24,"2025-10-01 12:11:08.586565",12.8,74,3.8,221115.586805
24,"2025-10-01 12:11:18.604876",8.7,74.1,3.8,221125.605129
24,"2025-10-01 12:11:28.624090",15.5,70.8,3.8,221135.624366
24,"2025-10-01 12:11:38.644452",16.2,77.9,3.8,221145.64497
24,"2025-10-01 12:11:48.670804",8.2,78.5,3.8,221155.671082
24,"2025-10-01 12:11:58.690306",8.2,79,3.8,221165.690559
24,"2025-10-01 12:12:08.709417",17.4,77.7,3.8,221175.709729
24,"2025-10-01 12:12:18.734515",8,79.1,3.8,221185.734754
24,"2025-10-01 12:12:28.754346",13.2,59.4,3.8,221195.754586
24,"2025-10-01 12:12:38.771996",1.9,56.8,3.8,221205.772254
24,"2025-10-01 12:12:48.789314",1.6,57,3.8,221215.789557
24,"2025-10-01 12:12:58.807739",5.7,55.7,3.8,221225.808158
24,"2025-10-01 12:13:08.836120",26.1,56.1,3.8,221235.836592
24,"2025-10-01 12:13:19.124805",15.1,53,3.8,221246.125082
24,"2025-10-01 12:13:29.143285",6.1,54.3,3.8,221256.143539
24,"2025-10-01 12:13:39.161866",3.6,53.4,3.8,221266.1621
24,"2025-10-01 12:13:49.179678",6.3,53.8,3.8,221276.180116
333,"2025-10-01 11:05:53.148808",5.4,84.1,74.5,436456.999982
333,"2025-10-01 11:06:04.190934",9.9,84.1,74.5,436468.046478
333,"2025-10-01 11:06:14.855501",2.5,83.8,74.5,436478.710008
333,"2025-10-01 11:06:25.461575",2.7,83.9,74.5,436489.316034
333,"2025-10-01 11:06:36.063158",2.6,83.9,74.5,436499.918531
333,"2025-10-01 11:06:46.688645",3,83.6,74.5,436510.54247
333,"2025-10-01 11:06:57.302658",2.5,83.7,74.5,436521.157244
333,"2025-10-01 11:07:07.909032",2.7,83.6,74.5,436531.761593
333,"2025-10-01 11:07:18.514206",2.3,83.8,74.6,436542.365894
333,"2025-10-01 11:07:29.113411",2.3,83.1,74.6,436552.968113
333,"2025-10-01 11:07:39.735780",3.4,82.9,74.6,436563.589419
333,"2025-10-01 11:07:50.377013",3,82.9,74.6,436574.232713
333,"2025-10-01 11:08:01.013357",3.6,82.9,74.6,436584.86786
333,"2025-10-01 11:08:11.620881",3.4,83.1,74.6,436595.477402
333,"2025-10-01 11:08:22.236340",4.6,82.9,74.6,436606.090266
333,"2025-10-01 11:08:32.845713",3.3,82.9,74.6,436616.700027
333,"2025-10-01 11:08:43.459458",3.9,82.5,74.6,436627.313889
333,"2025-10-01 11:08:54.073184",2.9,82.5,74.6,436637.927151
333,"2025-10-01 11:09:04.691766",2.8,82.4,74.6,436648.547625
333,"2025-10-01 11:09:15.307862",3.4,82.4,74.6,436659.162296
333,"2025-10-01 11:09:25.922471",3.8,82.5,74.6,436669.776906
333,"2025-10-01 11:09:36.536629",2,82.5,74.6,436680.391112
333,"2025-10-01 11:09:47.147680",2.5,82.5,74.6,436691.002374
333,"2025-10-01 11:09:57.749757",2.4,82.7,74.6,436701.604666
333,"2025-10-01 11:10:08.353453",5,83.1,74.6,436712.20982
333,"2025-10-01 11:10:19.020055",9.7,82.9,74.6,436722.874925
333,"2025-10-01 11:10:29.672401",2.1,83,74.6,436733.526232
